Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
       added      +0.00%         0.00 ms/ev ->         0.00 ms/ev MEtoEDMConverter
   -1.998775      -0.02%        22.85 ms/ev ->         0.01 ms/ev totemRPUVPatternFinder
   +1.997396      +0.01%         0.01 ms/ev ->         9.21 ms/ev ctppsPixelLocalTracks
   -1.858549      -0.02%        25.78 ms/ev ->         0.94 ms/ev initialStepSeedLayers
   +1.419355      +0.00%         0.01 ms/ev ->         0.05 ms/ev totemTimingRecHits
   -1.345985      -0.06%        73.74 ms/ev ->        14.41 ms/ev gedGsfElectrons
   +1.291262      +0.00%         0.15 ms/ev ->         0.68 ms/ev gemRecHits
   +1.273563      +0.00%         0.08 ms/ev ->         0.36 ms/ev gmtStage2Digis
   -1.231971      -0.02%        21.21 ms/ev ->         5.04 ms/ev particleFlowClusterECAL
   +1.142857      +0.00%         0.00 ms/ev ->         0.01 ms/ev totemTriggerRawToDigi
   -1.142857      -0.00%         0.02 ms/ev ->         0.01 ms/ev uncleanedOnlyMulti5x5SuperClustersWithPreshower
   +1.126214      +0.00%         0.05 ms/ev ->         0.16 ms/ev uncleanedOnlyCkfInOutTracksFromConversions
   -1.043478      -0.00%         0.03 ms/ev ->         0.01 ms/ev ctppsDiamondRawToDigi
   +1.015544      +0.00%         0.19 ms/ev ->         0.58 ms/ev gtDigis
   +0.814159      +0.00%         0.34 ms/ev ->         0.80 ms/ev muonSeededSeedsOutIn
   +0.797802     +28.19%     21116.65 ms/ev ->     49143.48 ms/ev AODSIMoutput
   -0.726277      -0.00%         5.23 ms/ev ->         2.44 ms/ev uncleanedOnlyConversionTrackCandidates
   -0.661793      -0.04%        71.72 ms/ev ->        36.06 ms/ev gedGsfElectronsTmp
   +0.585828      +0.00%         1.38 ms/ev ->         2.53 ms/ev hcalDigis
   -0.581447      -0.00%         6.13 ms/ev ->         3.37 ms/ev ecalRecHit
   -0.534233      -0.00%         1.31 ms/ev ->         0.76 ms/ev uncleanedOnlyPfTrackElec
   +0.528942      +0.00%         0.74 ms/ev ->         1.27 ms/ev gemSegments
   -0.490367      -0.01%        19.88 ms/ev ->        12.05 ms/ev csc2DRecHits
